Food Item,Category,Serving Size,Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g)
"Fish (Sardine, Cooked)",Protein,100 g,208,25,0,11,0
Prawns (Cooked),Protein,100 g,99,24,0.2,0.3,0
Milk (Whole),Dairy,200 ml,122,6.4,9.6,6.6,0
Paneer,Dairy,50 g,140,7,1,11,0
Brinjal (Eggplant),Vegetable,100 g,25,1,6,0.2,3
Okra (Lady's Finger),Vegetable,100 g,33,1.9,7.5,0.2,3.2
Drumstick (Moringa Pods),Vegetable,100 g,37,2.1,8.5,0.2,3.2
Bottle Gourd,Vegetable,100 g,15,0.6,3.4,0.1,0.5
Ridge Gourd,Vegetable,100 g,20,0.5,4.4,0.2,1.1
Snake Gourd,Vegetable,100 g,18,0.5,3.3,0.1,1.1
Bitter Gourd,Vegetable,100 g,17,1,3.7,0.2,2.8
Ash Gourd,Vegetable,100 g,13,0.4,3,0.2,2.9
Pumpkin,Vegetable,100 g,26,1,6.5,0.1,0.5
Cabbage,Vegetable,100 g,25,1.3,5.8,0.1,2.5
Carrot,Vegetable,100 g,41,0.9,9.6,0.2,2.8
Beetroot,Vegetable,100 g,43,1.6,10,0.2,2.8
Beans (French),Vegetable,100 g,31,1.8,7,0.1,3.4
Cluster Beans,Vegetable,100 g,45,3.2,7.9,0.4,4.6
Broad Beans,Vegetable,100 g,88,7.6,17.6,0.7,5.4
Cauliflower,Vegetable,100 g,25,1.9,5,0.3,2
Tomato,Vegetable,100 g,18,0.9,3.9,0.2,1.2
Onion,Vegetable,100 g,40,1.1,9.3,0.1,1.7
Potato,Vegetable,100 g,77,2,17,0.1,2.2
Sweet Potato,Vegetable,100 g,86,1.6,20,0.1,3
Yam (Elephant Foot),Vegetable,100 g,97,1.5,22,0.1,4.1
Colocasia (Taro),Vegetable,100 g,112,1.5,26.5,0.1,4.1
Raw Banana,Vegetable,100 g,89,1.1,22,0.3,2.6
Capsicum,Vegetable,100 g,20,0.9,4.6,0.2,1.7
Green Chilli,Vegetable,100 g,40,2,9,0.4,1.5
Spinach (Palak),Vegetable,100 g,23,2.9,3.6,0.4,2.2
Amaranth Leaves,Vegetable,100 g,23,2.5,4,0.3,2.1
Curry Leaves,Vegetable,100 g,108,6.1,18.7,1,6.4
Coriander Leaves,Vegetable,100 g,23,2.1,3.7,0.5,2.8
Mint Leaves,Vegetable,100 g,44,3.3,8.4,0.7,6.8
Radish,Vegetable,100 g,16,0.7,3.4,0.1,1.6
Cucumber,Vegetable,100 g,15,0.7,3.6,0.1,0.5
Garlic,Vegetable,100 g,149,6.4,33,0.5,2.1
Ginger,Vegetable,100 g,80,1.8,17.8,0.8,2
Green Peas,Vegetable,100 g,81,5.4,14,0.4,5.1
Field Beans,Vegetable,100 g,102,6.5,16.9,0.6,6.8
Ivy Gourd (Tindora),Vegetable,100 g,17,1.2,3.2,0.4,1.6
Plantain Stem,Vegetable,100 g,12,0.3,2.9,0.1,1.4
Banana Flower,Vegetable,100 g,51,1.6,9.9,0.6,5.7
Yardlong Beans,Vegetable,100 g,47,2.8,8.4,0.4,3.2
Turnip,Vegetable,100 g,28,0.9,6.4,0.1,1.8
Spring Onion,Vegetable,100 g,32,1.8,7.3,0.2,2.6
Mango (Ripe),Fruit,100 g,60,0.8,15,0.4,1.6
Banana (Poovan),Fruit,100 g,89,1.1,23,0.3,2.6
Papaya,Fruit,100 g,43,0.5,11,0.3,1.7
Watermelon,Fruit,100 g,30,0.6,7.6,0.2,0.4
Pineapple,Fruit,100 g,50,0.5,13,0.1,1.4
Guava,Fruit,100 g,68,2.6,14,1,5.4
Sapota (Chikoo),Fruit,100 g,83,0.4,20,1.1,5.3
Jackfruit,Fruit,100 g,95,1.7,23.2,0.6,1.5
Custard Apple,Fruit,100 g,94,1.7,24,0.6,4.4
Grapes,Fruit,100 g,69,0.7,18,0.2,0.9
Orange,Fruit,100 g,47,0.9,12,0.1,2.4
Pomegranate,Fruit,100 g,83,1.7,18.7,1.2,4
Apple,Fruit,100 g,52,0.3,14,0.2,2.4
Sweet Lime (Mosambi),Fruit,100 g,43,0.7,10,0.2,1.8
Jamun (Java Plum),Fruit,100 g,60,0.7,15.6,0.2,0.6
Amla (Indian Gooseberry),Fruit,100 g,44,0.9,10,0.6,4.3
Tamarind (Raw),Fruit,100 g,239,2.8,62.5,0.6,5.1
Coconut Water,Fruit,100 g,19,0.7,3.7,0.2,1.1
Foxtail Millet (Cooked),Grain/Millet,100 g,123,4.1,26,0.5,2.3
Kodo Millet (Cooked),Grain/Millet,100 g,120,3.6,26,0.4,2.6
Little Millet (Cooked),Grain/Millet,100 g,119,3.9,25,0.4,3.2
Barnyard Millet (Cooked),Grain/Millet,100 g,101,3.7,20,0.5,3.9
Pearl Millet / Bajra (Cooked),Grain/Millet,100 g,122,3.5,24,1.5,1.8
Sorghum / Jowar (Cooked),Grain/Millet,100 g,123,3.5,26,1,2
Finger Millet / Ragi (Cooked),Grain/Millet,100 g,97,2.3,20,0.4,3.5
Wheat Flour (Atta),Grain/Millet,100 g,340,12,72,1.7,11
Semolina Upma Rava,Grain/Millet,100 g,360,10,73,1,3.9
Idli Rava,Grain/Millet,100 g,356,7,79,0.5,2
Broken Wheat (Dalia),Grain/Millet,100 g,342,12,72,2,17.3
Puffed Rice (Murmura),Grain/Millet,100 g,365,7.5,80,0.5,1.5
Horse Gram (Cooked),Pulse/Legume,100 g,321,22,57,0.5,5.5
"Black Chickpea (Kala Chana, Cooked)",Pulse/Legume,100 g,164,8.9,27.4,2.6,8
"White Chickpea (Kabuli Chana, Cooked)",Pulse/Legume,100 g,164,8.9,27.4,2.6,7.6
"Rajma (Kidney Beans, Cooked)",Pulse/Legume,100 g,127,8.7,22.8,0.5,6.4
Green Gram Whole (Cooked),Pulse/Legume,100 g,105,7,18,0.4,4
Black Eyed Peas (Cooked),Pulse/Legume,100 g,116,7.7,20.8,0.5,6.5
Lentils / Masoor Dal (Cooked),Pulse/Legume,100 g,116,9,20,0.4,7.9
Cashew Nuts,Nuts/Seeds,100 g,553,18,30,44,3.3
Almonds,Nuts/Seeds,100 g,579,21,22,50,12.5
Sesame Seeds,Nuts/Seeds,100 g,573,17.7,23.4,49.7,11.8
Flax Seeds,Nuts/Seeds,100 g,534,18.3,29,42,27.3
Pumpkin Seeds,Nuts/Seeds,100 g,559,30.2,10.7,49,6
Chia Seeds,Nuts/Seeds,100 g,486,16.5,42,30.7,34.4
Mustard Seeds,Spice/Condiment,100 g,508,26.1,28.1,36.2,12.5
Cumin Seeds,Spice/Condiment,100 g,375,17.7,44.2,22.3,10.5
Fenugreek Seeds,Spice/Condiment,100 g,323,23,58.4,6.4,24.6
Turmeric Powder,Spice/Condiment,100 g,354,7.8,65,10,21
Red Chilli Powder,Spice/Condiment,100 g,282,14.3,49.7,17,34.8
Coriander Powder,Spice/Condiment,100 g,298,12.4,55,17.8,41.9
Black Pepper,Spice/Condiment,100 g,251,10.4,64,3.3,25.3
Asafoetida (Hing),Spice/Condiment,100 g,297,4,67.8,1.1,4.1
Tamarind Paste,Spice/Condiment,100 g,239,2.8,62.5,0.6,5.1
Beans Poriyal,Curry,100 g,86.9,2.8,8.7,3.8,3.1
Beans Thoran,Curry,100 g,92.5,3.2,8.4,4.4,2.8
Beans Kootu,Curry,150 g,105.0,5.0,12.9,3.8,4.1
Beans Sambar,Curry,150 g,115.8,5.7,17.2,3.1,3.7
Beans Curry,Curry,150 g,136.4,4.1,11.7,6.6,3.2
Beans Kurma,Curry,150 g,165.6,3.7,13.1,11.6,2.5
Beans Masiyal,Curry,100 g,83.9,3.1,8.0,4.3,2.9
Beans Fry,Snack,100 g,141.2,3.2,13.2,9.5,2.5
Beans Pachadi,Condiment,80 g,62.0,1.9,5.7,2.9,1.4
Beans Chutney,Condiment,30 g,52.6,1.4,4.8,3.6,1.2
Beans Sabzi,Curry,100 g,97.9,2.9,9.6,6.4,2.6
Beans Rice,Rice Dish,200 g,234.0,4.7,39.4,6.6,2.5
Beans Dosa,Breakfast,100 g,167.1,4.1,25.2,4.6,1.9
Beans Paratha,Breakfast,100 g,219.3,4.8,27.8,7.8,2.4
Carrot Poriyal,Curry,100 g,81.1,3.2,9.5,3.9,3.1
Carrot Thoran,Curry,100 g,88.5,3.2,8.9,4.3,2.9
Carrot Kootu,Curry,150 g,111.1,4.8,14.2,4.3,3.9
Carrot Sambar,Curry,150 g,109.8,6.5,17.0,2.8,3.7
Carrot Curry,Curry,150 g,121.9,4.1,12.6,6.9,2.8
Carrot Kurma,Curry,150 g,166.8,4.3,14.1,11.8,2.6
Carrot Masiyal,Curry,100 g,73.7,3.1,8.2,4.0,2.9
Carrot Fry,Snack,100 g,143.2,2.8,12.9,8.9,2.7
Carrot Pachadi,Condiment,80 g,63.6,1.9,6.0,2.8,1.6
Carrot Chutney,Condiment,30 g,58.3,1.5,5.1,3.6,1.1
Carrot Sabzi,Curry,100 g,104.2,3.0,10.4,6.0,2.3
Carrot Rice,Rice Dish,200 g,223.5,4.6,40.6,7.4,2.6
Carrot Dosa,Breakfast,100 g,150.2,3.7,26.5,4.8,1.7
Carrot Paratha,Breakfast,100 g,209.5,4.7,31.3,8.3,2.4
Cabbage Poriyal,Curry,100 g,84.7,3.0,8.7,4.2,3.0
Cabbage Thoran,Curry,100 g,85.8,3.0,9.3,4.3,2.9
Cabbage Kootu,Curry,150 g,118.7,5.1,13.9,4.0,3.8
Cabbage Sambar,Curry,150 g,109.9,5.8,17.2,2.9,3.8
Cabbage Curry,Curry,150 g,121.1,4.1,11.5,7.5,3.2
Cabbage Kurma,Curry,150 g,158.3,3.8,14.4,10.5,2.4
Cabbage Masiyal,Curry,100 g,85.6,3.0,8.0,4.2,3.1
Cabbage Fry,Snack,100 g,133.1,2.8,12.9,8.9,2.5
Cabbage Pachadi,Condiment,80 g,62.2,2.1,6.5,2.8,1.5
Cabbage Chutney,Condiment,30 g,53.6,1.6,4.8,3.3,1.2
Cabbage Sabzi,Curry,100 g,98.8,2.9,9.6,6.4,2.5
Cabbage Rice,Rice Dish,200 g,243.3,5.0,35.3,7.6,2.6
Cabbage Dosa,Breakfast,100 g,166.6,4.3,26.4,4.3,1.8
Cabbage Paratha,Breakfast,100 g,200.4,4.9,27.9,7.8,2.7
Beetroot Poriyal,Curry,100 g,81.8,3.1,8.9,4.0,3.2
Beetroot Thoran,Curry,100 g,97.1,3.0,9.3,4.3,2.9
Beetroot Kootu,Curry,150 g,118.2,5.1,14.1,4.2,3.7
Beetroot Sambar,Curry,150 g,116.5,6.0,18.0,2.8,4.3
Beetroot Curry,Curry,150 g,121.3,3.8,12.2,7.2,2.9
Beetroot Kurma,Curry,150 g,159.7,4.2,13.4,11.2,2.5
Beetroot Masiyal,Curry,100 g,79.0,3.0,8.0,4.3,2.9
Beetroot Fry,Snack,100 g,144.8,2.9,12.8,9.2,2.4
Beetroot Pachadi,Condiment,80 g,58.2,2.1,5.6,3.0,1.6
Beetroot Chutney,Condiment,30 g,59.4,1.4,4.8,3.4,1.3
Beetroot Sabzi,Curry,100 g,106.1,3.2,9.8,5.7,2.6
Beetroot Rice,Rice Dish,200 g,237.5,5.1,41.0,7.2,2.3
Beetroot Dosa,Breakfast,100 g,162.9,3.9,25.7,4.8,1.7
Beetroot Paratha,Breakfast,100 g,197.1,4.7,30.3,7.7,2.5
Brinjal Poriyal,Curry,100 g,88.0,2.9,9.2,3.8,3.0
Brinjal Thoran,Curry,100 g,95.8,3.2,8.4,4.4,2.9
Brinjal Kootu,Curry,150 g,101.3,5.2,14.3,3.8,4.2
Brinjal Sambar,Curry,150 g,116.0,5.9,15.7,2.8,4.2
Brinjal Curry,Curry,150 g,138.4,4.0,12.6,7.1,2.8
Brinjal Kurma,Curry,150 g,159.9,3.9,14.9,11.5,2.6
Brinjal Masiyal,Curry,100 g,85.1,2.9,7.7,3.7,3.1
Brinjal Fry,Snack,100 g,148.6,3.0,13.3,8.5,2.7
Brinjal Pachadi,Condiment,80 g,63.5,2.2,6.3,3.2,1.4
Brinjal Chutney,Condiment,30 g,57.1,1.5,5.3,3.7,1.3
Brinjal Sabzi,Curry,100 g,105.0,2.9,10.5,5.6,2.6
Brinjal Rice,Rice Dish,200 g,243.2,4.8,39.9,7.0,2.4
Brinjal Dosa,Breakfast,100 g,162.3,3.8,23.1,4.3,1.8
Brinjal Paratha,Breakfast,100 g,222.2,5.4,28.9,8.2,2.5
Okra Poriyal,Curry,100 g,91.5,3.0,9.6,3.8,3.2
Okra Thoran,Curry,100 g,85.4,3.2,8.7,4.2,3.0
Okra Kootu,Curry,150 g,114.0,4.9,14.2,4.0,3.9
Okra Sambar,Curry,150 g,116.4,5.8,17.6,2.8,4.3
Okra Curry,Curry,150 g,130.8,4.1,12.5,7.2,2.9
Okra Kurma,Curry,150 g,158.3,4.1,13.6,10.7,2.6
Okra Masiyal,Curry,100 g,82.8,2.9,7.8,3.9,3.0
Okra Fry,Snack,100 g,135.4,2.8,12.8,9.6,2.6
Okra Pachadi,Condiment,80 g,63.9,2.0,5.8,3.0,1.4
Okra Chutney,Condiment,30 g,53.1,1.5,5.1,3.6,1.2
Okra Sabzi,Curry,100 g,99.1,2.9,10.0,6.4,2.6
Okra Rice,Rice Dish,200 g,217.8,4.7,38.1,7.1,2.4
Okra Dosa,Breakfast,100 g,162.9,4.2,25.7,4.3,1.7
Okra Paratha,Breakfast,100 g,194.0,4.8,29.9,8.4,2.3
Drumstick Poriyal,Curry,100 g,83.8,3.1,8.6,4.1,3.0
Drumstick Thoran,Curry,100 g,86.3,3.1,8.3,4.7,3.1
Drumstick Kootu,Curry,150 g,103.1,4.9,13.3,4.3,4.0
Drumstick Sambar,Curry,150 g,106.7,5.8,17.9,3.0,4.2
Drumstick Curry,Curry,150 g,133.5,4.3,12.2,7.5,3.2
Drumstick Kurma,Curry,150 g,173.1,4.1,14.0,11.6,2.5
Drumstick Masiyal,Curry,100 g,85.1,3.1,8.0,3.8,2.9
Drumstick Fry,Snack,100 g,143.1,3.1,13.0,9.2,2.4
Drumstick Pachadi,Condiment,80 g,55.9,1.9,5.8,2.9,1.5
Drumstick Chutney,Condiment,30 g,51.8,1.4,5.2,3.6,1.1
Drumstick Sabzi,Curry,100 g,98.5,3.0,9.9,5.7,2.5
Drumstick Rice,Rice Dish,200 g,244.9,5.1,39.2,7.4,2.6
Drumstick Dosa,Breakfast,100 g,152.0,3.7,24.4,4.7,1.9
Drumstick Paratha,Breakfast,100 g,225.2,4.9,31.2,8.1,2.5
Bottle Gourd Poriyal,Curry,100 g,81.2,2.9,8.9,3.7,2.9
Bottle Gourd Thoran,Curry,100 g,92.6,3.0,8.5,4.5,2.8
Bottle Gourd Kootu,Curry,150 g,112.2,4.6,13.8,4.0,3.7
Bottle Gourd Sambar,Curry,150 g,117.6,5.7,16.9,2.8,3.9
Bottle Gourd Curry,Curry,150 g,124.0,3.9,12.5,6.9,3.1
Bottle Gourd Kurma,Curry,150 g,179.0,3.8,13.1,10.2,2.5
Bottle Gourd Masiyal,Curry,100 g,86.4,2.9,8.2,4.2,3.1
Bottle Gourd Fry,Snack,100 g,145.7,3.2,12.4,8.3,2.4
Bottle Gourd Pachadi,Condiment,80 g,56.4,2.1,6.1,2.9,1.5
Bottle Gourd Chutney,Condiment,30 g,57.3,1.4,5.1,3.6,1.1
Bottle Gourd Sabzi,Curry,100 g,105.1,3.2,9.4,5.5,2.4
Bottle Gourd Rice,Rice Dish,200 g,236.5,5.4,37.4,7.2,2.3
Bottle Gourd Dosa,Breakfast,100 g,159.7,4.1,23.4,4.7,1.9
Bottle Gourd Paratha,Breakfast,100 g,213.4,4.7,32.3,8.4,2.4
Ridge Gourd Poriyal,Curry,100 g,84.0,2.9,9.0,3.9,3.2
Ridge Gourd Thoran,Curry,100 g,94.6,2.8,9.7,4.6,3.2
Ridge Gourd Kootu,Curry,150 g,113.6,4.9,14.5,4.3,3.9
Ridge Gourd Sambar,Curry,150 g,120.7,6.0,17.0,3.0,4.1
Ridge Gourd Curry,Curry,150 g,125.2,4.2,12.6,6.5,3.2
Ridge Gourd Kurma,Curry,150 g,163.0,4.0,14.2,10.8,2.3
Ridge Gourd Masiyal,Curry,100 g,84.5,2.8,7.6,4.2,2.9
Ridge Gourd Fry,Snack,100 g,148.5,3.1,12.5,8.3,2.7
Ridge Gourd Pachadi,Condiment,80 g,56.0,2.1,6.0,3.1,1.5
Ridge Gourd Chutney,Condiment,30 g,56.3,1.5,5.2,3.3,1.1
Ridge Gourd Sabzi,Curry,100 g,103.1,2.9,10.1,6.0,2.5
Ridge Gourd Rice,Rice Dish,200 g,227.3,5.2,37.0,7.2,2.4
Ridge Gourd Dosa,Breakfast,100 g,148.8,3.8,23.8,4.2,1.8
Ridge Gourd Paratha,Breakfast,100 g,218.8,4.7,28.6,8.0,2.6
Snake Gourd Poriyal,Curry,100 g,91.5,3.0,8.7,3.7,2.9
Snake Gourd Thoran,Curry,100 g,86.1,2.8,8.3,4.5,2.9
Snake Gourd Kootu,Curry,150 g,118.3,5.0,14.4,3.8,4.2
Snake Gourd Sambar,Curry,150 g,114.8,6.4,17.2,3.0,4.0
Snake Gourd Curry,Curry,150 g,123.4,3.7,12.8,7.0,3.2
Snake Gourd Kurma,Curry,150 g,167.3,3.7,14.3,10.2,2.4
Snake Gourd Masiyal,Curry,100 g,80.8,2.9,8.6,3.8,3.1
Snake Gourd Fry,Snack,100 g,142.4,3.1,12.4,9.0,2.5
Snake Gourd Pachadi,Condiment,80 g,59.5,2.1,6.5,2.9,1.5
Snake Gourd Chutney,Condiment,30 g,56.0,1.6,5.4,3.3,1.1
Snake Gourd Sabzi,Curry,100 g,102.6,2.8,9.5,5.6,2.3
Snake Gourd Rice,Rice Dish,200 g,228.2,5.1,36.7,6.7,2.6
Snake Gourd Dosa,Breakfast,100 g,160.0,4.0,25.7,4.8,1.9
Snake Gourd Paratha,Breakfast,100 g,214.2,5.1,32.1,7.9,2.5
Bitter Gourd Poriyal,Curry,100 g,87.0,3.2,9.5,3.7,2.8
Bitter Gourd Thoran,Curry,100 g,87.2,3.1,9.1,4.3,2.8
Bitter Gourd Kootu,Curry,150 g,113.3,5.2,15.0,4.0,4.0
Bitter Gourd Sambar,Curry,150 g,107.3,5.6,16.8,2.9,3.8
Bitter Gourd Curry,Curry,150 g,121.5,4.3,12.6,7.1,3.2
Bitter Gourd Kurma,Curry,150 g,183.6,4.1,13.5,10.2,2.6
Bitter Gourd Masiyal,Curry,100 g,79.6,3.1,8.5,3.8,3.0
Bitter Gourd Fry,Snack,100 g,143.0,3.0,12.1,8.8,2.4
Bitter Gourd Pachadi,Condiment,80 g,61.6,2.1,5.8,3.1,1.4
Bitter Gourd Chutney,Condiment,30 g,58.9,1.6,5.0,3.5,1.2
Bitter Gourd Sabzi,Curry,100 g,97.2,3.2,9.8,6.0,2.7
Bitter Gourd Rice,Rice Dish,200 g,235.8,5.0,37.5,6.7,2.4
Bitter Gourd Dosa,Breakfast,100 g,161.4,4.1,26.0,4.3,1.8
Bitter Gourd Paratha,Breakfast,100 g,224.4,5.0,31.0,7.5,2.7
Ash Gourd Poriyal,Curry,100 g,86.5,2.9,8.5,4.0,3.0
Ash Gourd Thoran,Curry,100 g,84.1,3.2,9.6,4.5,2.8
Ash Gourd Kootu,Curry,150 g,115.8,5.0,14.5,4.0,3.9
Ash Gourd Sambar,Curry,150 g,121.2,6.5,16.3,3.0,3.9
Ash Gourd Curry,Curry,150 g,138.8,4.0,12.7,7.4,2.9
Ash Gourd Kurma,Curry,150 g,177.9,3.9,15.0,11.0,2.6
Ash Gourd Masiyal,Curry,100 g,77.2,2.9,8.1,4.3,3.0
Ash Gourd Fry,Snack,100 g,132.1,3.0,12.7,9.1,2.5
Ash Gourd Pachadi,Condiment,80 g,59.6,1.9,5.7,3.1,1.5
Ash Gourd Chutney,Condiment,30 g,52.7,1.6,4.6,3.6,1.2
Ash Gourd Sabzi,Curry,100 g,105.0,2.9,10.3,6.3,2.7
Ash Gourd Rice,Rice Dish,200 g,229.8,4.6,38.0,7.1,2.6
Ash Gourd Dosa,Breakfast,100 g,164.3,4.0,25.1,4.5,1.9
Ash Gourd Paratha,Breakfast,100 g,207.0,5.1,28.3,8.0,2.7
Pumpkin Poriyal,Curry,100 g,82.8,3.1,9.2,4.2,3.2
Pumpkin Thoran,Curry,100 g,95.2,2.9,8.7,4.7,3.1
Pumpkin Kootu,Curry,150 g,116.6,4.6,13.0,4.1,4.3
Pumpkin Sambar,Curry,150 g,124.2,6.2,16.8,2.8,4.1
Pumpkin Curry,Curry,150 g,137.7,4.0,12.4,7.5,2.8
Pumpkin Kurma,Curry,150 g,178.1,3.9,13.7,10.4,2.5
Pumpkin Masiyal,Curry,100 g,80.8,3.1,7.6,3.7,3.2
Pumpkin Fry,Snack,100 g,142.7,2.9,13.9,8.5,2.5
Pumpkin Pachadi,Condiment,80 g,57.6,1.9,5.5,3.1,1.6
Pumpkin Chutney,Condiment,30 g,56.6,1.4,5.0,3.4,1.2
Pumpkin Sabzi,Curry,100 g,102.2,3.0,9.6,6.3,2.4
Pumpkin Rice,Rice Dish,200 g,225.8,5.0,36.4,7.1,2.5
Pumpkin Dosa,Breakfast,100 g,167.2,3.9,26.9,4.6,1.7
Pumpkin Paratha,Breakfast,100 g,212.2,5.1,31.2,7.4,2.5
Cauliflower Poriyal,Curry,100 g,85.0,3.2,8.7,4.2,3.1
Cauliflower Thoran,Curry,100 g,87.9,3.1,9.2,4.6,3.1
Cauliflower Kootu,Curry,150 g,112.8,5.3,14.3,4.3,4.1
Cauliflower Sambar,Curry,150 g,111.5,5.9,17.2,3.1,3.7
Cauliflower Curry,Curry,150 g,125.7,4.2,11.4,6.6,3.0
Cauliflower Kurma,Curry,150 g,182.8,4.0,14.9,11.6,2.4
Cauliflower Masiyal,Curry,100 g,84.2,3.0,8.4,4.2,2.9
Cauliflower Fry,Snack,100 g,131.4,3.2,12.3,9.7,2.6
Cauliflower Pachadi,Condiment,80 g,62.2,2.2,6.4,3.1,1.5
Cauliflower Chutney,Condiment,30 g,57.6,1.4,5.0,3.5,1.2
Cauliflower Sabzi,Curry,100 g,102.8,3.0,10.5,6.4,2.3
Cauliflower Rice,Rice Dish,200 g,220.2,4.6,40.3,7.1,2.7
Cauliflower Dosa,Breakfast,100 g,148.1,3.7,26.3,4.8,1.7
Cauliflower Paratha,Breakfast,100 g,206.9,4.7,32.1,7.7,2.5
Raw Banana Poriyal,Curry,100 g,79.5,3.2,8.5,4.0,3.1
Raw Banana Thoran,Curry,100 g,93.5,3.2,8.9,4.7,2.8
Raw Banana Kootu,Curry,150 g,108.5,4.7,14.0,3.9,4.3
Raw Banana Sambar,Curry,150 g,106.4,5.9,16.8,3.2,4.2
